ID	Group	Init. Comp.	I->D	D->R
Ind0	NA	NA	NA	NA
Ind1	NA	NA	NA	NA
Ind2	NA	NA	NA	NA
Ind3	NA	NA	NA	NA
Ind4	NA	NA	NA	NA
Ind5	NA	NA	NA	NA
Ind6	NA	NA	NA	NA
Ind7	NA	NA	NA	NA
Ind8	NA	NA	NA	NA
Ind9	NA	NA	NA	NA
Ind10	NA	NA	NA	NA
Ind11	NA	NA	NA	NA
Ind12	NA	NA	NA	NA
Ind278	11	S	no	no
Ind279	11	S	no	no
Ind280	11	S	6.33494749016416	23.4684281292101
Ind281	11	S	no	no
Ind282	11	S	15.0382282451435	26.8553273319043
Ind283	11	S	21.4706287343058	39.1961937540826
Ind284	11	S	no	no
Ind285	11	S	19.2450517738152	25.1088018980699
Ind286	11	S	no	no
Ind287	11	S	no	no
Ind288	11	S	no	no
Ind289	12	E	3.00861386410608	10.9045792473373
Ind290	12	E	3.13373470015655	10.8530954068883
Ind291	12	E	3.92895515042557	23.5708722407607
Ind292	12	E	2.86566216727846	50.2231528622469
Ind293	12	E	1.70788696380332	34.7300082205193
Ind294	12	S	no	no
Ind295	12	S	no	no
Ind296	12	S	36.4965844847322	48.9391689806261
Ind297	12	S	no	no
Ind298	12	S	no	no
Ind299	12	S	no	no
Ind300	12	S	29.6322639893107	36.7498368335948
Ind301	12	S	8.12732408876145	8.63190993901418
Ind302	12	S	no	no
Ind303	12	S	no	no
Ind304	12	S	no	no
Ind305	12	S	no	no
Ind306	12	S	24.721324690543	25.8911223363431
Ind307	12	S	no	no
Ind308	12	S	no	no
Ind309	12	S	no	no
Ind310	12	S	50.2904445068518	55.0475326023373
Ind311	12	S	no	no
Ind312	12	S	no	no
Ind313	12	S	no	no
Ind314	13	E	6.70476349307613	31.019633799758
Ind315	13	E	5.69241412827241	6.70910048812398
Ind316	13	E	8.48036294339072	19.6138856556012
Ind317	13	E	6.95111784540142	9.04865856692913
Ind318	13	E	30.5465380098824	35.3432411790304
Ind319	13	S	36.0249261176701	36.2211795941348
Ind320	13	S	11.8541443672129	14.4677257983819
Ind321	13	S	no	no
Ind322	13	S	71.191256012563	77.2803949579021
Ind323	13	S	no	no
Ind324	13	S	no	no
Ind325	13	S	no	no
Ind326	13	S	40.8201181588093	46.1144588022422
Ind327	13	S	55.27352114147	57.4962432872858
Ind328	13	S	31.1646324584453	49.0927025799031
Ind329	13	S	no	no
Ind330	13	S	13.215404901531	15.148513323021
Ind331	13	S	28.8211573333828	34.6993345236047
Ind332	13	S	35.2594681449926	36.6687478424274
Ind333	13	S	46.8415934475843	46.9922567778112
Ind334	13	S	45.8432142995191	75.571492771719
Ind335	13	S	no	no
Ind336	13	S	no	no
Ind337	13	S	86.5807474359243	91.813943705723
Ind338	13	S	40.4215097017774	52.8795312829671
Ind339	14	E	7.77405251984565	11.4931234970881
Ind340	14	E	1.34861677163395	24.0710289571735
Ind341	14	E	7.40654310235205	11.8896347908487
Ind342	14	E	3.05844109823846	33.4658205341567
Ind343	14	E	6.97538797898869	9.32853342548004
Ind344	14	S	no	no
Ind345	14	S	21.1331579203859	30.0947958331943
Ind346	14	S	14.4177808470873	26.6655693473313
Ind347	14	S	18.5485466236639	21.5897924799789
Ind348	14	S	no	no
Ind349	14	S	no	no
Ind350	14	S	no	no
Ind351	14	S	no	no
Ind352	14	S	no	no
Ind353	14	S	8.37141104536528	22.25586863614
Ind354	14	S	15.2209287313074	16.6694057073586
Ind355	14	S	no	no
Ind356	14	S	no	no
Ind357	14	S	no	no
Ind358	14	S	no	no
Ind359	14	S	no	no
Ind360	14	S	no	no
Ind361	14	S	no	no
Ind362	14	S	no	no
Ind363	14	S	no	no
Ind364	15	E	3.75447778781057	6.35849341225997
Ind365	15	E	5.01877010554126	15.1582469142701
Ind366	15	E	4.24981278802711	4.9009773368387
Ind367	15	E	7.63711919569492	11.6620407221553
Ind368	15	E	1.35181986125216	1.5978796104148
Ind369	15	S	28.5404070888153	28.9162184745725
Ind370	15	S	17.7128804266239	32.2859884388482
Ind371	15	S	no	no
Ind372	15	S	no	no
Ind373	15	S	no	no
Ind374	15	S	10.8677281471289	15.9438834354826
Ind375	15	S	no	no
Ind376	15	S	no	no
Ind377	15	S	16.3385824337735	42.0846134671507
Ind378	15	S	no	no
Ind379	15	S	no	no
