ID	Group	Init. Comp.	Donor	S->E	E->I	I->D	D->R	f_a	f_e	g_a	g_e	r_a	r_e
Ind438	17	S	0	9.00332	9.68666	10.6858	11.0889	-1.63485	-0.0900975	-1.09242	0.133028	-0.792134	-1.57514
Ind439	18	E	1	no	0.11192	1.3226	1.92973	0.0126521	0.302175	-1.5377	-1.05688	0.0242255	-1.55806
Ind440	18	E	1	no	0.749395	3.72124	3.8149	0.589097	-0.400166	-0.532795	-0.247877	-0.452033	0.850059
Ind441	18	E	1	no	2.39484	4.10882	7.18078	0.895968	-0.713905	-0.676588	0.293287	0.593461	-0.812597
Ind442	18	E	1	no	2.37872	5.61914	6.31212	0.427365	0.558864	-1.29454	-0.679225	0.242224	0.127218
Ind443	18	E	1	no	0.011715	0.351544	4.23141	-0.800868	0.569416	-1.29322	1.04997	0.210673	-1.02039
Ind444	18	S	0	no	no	no	no	0.118563	-1.00108	-0.862199	-0.636017	0.582008	-1.25545
Ind445	18	S	0	4.93092	8.95647	9.64775	25.8418	-0.972858	-0.955261	0.866648	-0.0230972	0.799388	0.263072
Ind446	18	S	0	4.55485	9.84464	9.9702	14.0858	1.20942	0.95094	0.270146	0.929441	0.543494	-0.685053
Ind447	18	S	0	54.2556	54.6587	54.7515	62.8948	-0.913915	-0.386605	0.137716	-1.38242	0.048156	-1.14946
Ind448	18	S	0	6.33539	14.275	23.0124	44.5168	-0.529799	-1.56346	-0.233382	0.823861	0.83891	0.550166
Ind449	18	S	0	4.24715	4.29389	4.41494	7.59731	1.17781	-0.0225184	1.60639	-0.0723059	-0.871734	-0.669428
Ind450	18	S	0	5.05292	5.50324	5.72206	8.71894	1.39707	0.116735	0.879381	-0.348753	-0.311411	-0.598784
Ind451	18	S	0	11.0981	17.2609	42.5047	75.7611	-1.57674	-1.58003	0.817648	-0.649215	1.47135	0.106735
Ind452	18	S	0	5.7136	37.3536	39.587	112.476	1.96488	-0.228303	1.64043	-0.74406	1.14884	0.599718
Ind453	18	S	0	5.54852	8.19092	12.613	26.7609	1.65679	-1.37561	0.622072	0.269098	0.370155	0.0680883
Ind454	18	S	0	5.93068	6.71357	6.76602	7.66205	1.08592	0.782374	1.85066	-0.837815	-1.41355	-0.1258
Ind455	18	S	0	1.07759	4.86063	6.82978	26.9099	-1.29034	-1.29944	0.359432	1.04328	0.69997	-0.212704
Ind456	18	S	0	39.8268	40.165	42.3038	42.6106	-0.935212	-0.429947	-0.0719012	-0.122993	0.524607	-0.437979
Ind457	18	S	0	3.69879	4.10805	6.71219	7.96241	0.947151	0.699005	1.97033	0.285472	-0.251564	-1.3921
Ind458	18	S	0	10.0809	10.6212	11.0924	12.0041	2.03087	-0.20297	0.65958	-1.1831	-0.149256	-0.736653
Ind459	18	S	0	1.5655	15.3771	18.8964	25.273	3.05843	-0.610625	2.30122	0.545431	0.31579	0.124934
Ind460	18	S	0	5.51181	5.58048	5.91568	7.48635	2.01673	0.0879913	0.157243	0.23188	-0.686282	-1.26926
Ind461	18	S	0	6.77674	15.0898	23.6536	246.718	-1.18017	-0.308379	0.522296	0.474601	0.282353	1.2013
Ind462	18	S	0	21.2263	21.768	39.9617	72.0788	1.28922	-0.44516	0.152151	0.285993	1.99499	-0.34517
Ind463	18	S	0	7.25124	10.4357	13.0547	32.4846	1.67253	-0.191369	1.48359	-0.425269	0.862989	0.0365605
Ind464	19	E	1	no	4.79455	10.3638	13.3032	0.41059	0.648417	0.437366	0.232719	-0.62582	0.912526
Ind465	19	E	1	no	9.72944	12.0481	42.544	0.652383	-0.546182	-0.0686549	-1.41205	-0.924489	0.506359
Ind466	19	E	1	no	0.828754	2.07276	10.7584	0.796354	0.119069	0.368539	0.537456	-0.66894	0.822587
Ind467	19	E	1	no	0.612596	0.618286	3.63953	-0.389095	1.46838	-0.602095	2.46639	-0.918096	-0.0520528
Ind468	19	E	1	no	0.2429	0.516565	2.91882	0.828758	0.148892	-1.00402	0.767871	-1.15323	0.138526
Ind469	19	S	0	4.02001	4.33185	4.98023	5.6233	0.0680198	-0.313876	0.707196	0.956917	-0.841579	-0.753161
Ind470	19	S	0	10.0201	12.9818	16.3336	22.4246	0.578689	2.14062	0.114556	0.129701	-1.16483	0.716775
Ind471	19	S	0	1.49426	6.21293	11.8538	22.3365	0.668418	-0.39511	1.3096	0.0600748	-0.360778	0.299899
Ind472	19	S	0	0.37552	0.600074	0.634436	2.85205	0.676345	1.31492	0.81634	0.645756	-1.00814	-1.40708
Ind473	19	S	0	2.59564	5.12203	10.269	12.2111	2.13161	-0.335062	1.57556	-0.0978874	-0.614616	0.407186
Ind474	19	S	0	2.06424	3.44122	4.83792	11.6058	0.927555	0.0253248	3.09548	-1.14518	0.106953	-0.34458
Ind475	19	S	0	7.16301	10.507	32.684	116.654	-1.68074	-1.44368	1.00786	-0.283085	0.141212	0.652246
Ind476	19	S	0	1.33662	1.99059	2.82973	6.13708	0.392752	-0.0942991	2.55968	0.140506	-0.368519	-1.30071
Ind477	19	S	0	0.814011	8.86526	11.1955	30.1571	-2.01859	-0.756946	1.71348	0.485935	0.433085	0.389892
Ind478	19	S	0	1.86694	1.90441	6.08446	6.78509	0.250294	-1.0779	1.97219	0.107785	0.388809	-0.592057
Ind479	19	S	0	4.13079	10.5106	10.693	11.4622	2.4691	-0.216893	1.00066	-0.240921	0.876372	-0.368904
Ind480	19	S	0	5.30905	6.2465	6.86663	8.70836	0.661699	1.01815	0.0149215	0.580013	0.400415	-2.06991
Ind481	19	S	0	14.9095	15.0876	16.1618	16.8516	-0.20611	0.865339	-0.937129	-0.936058	-0.182294	-1.93973
Ind482	19	S	0	no	no	no	no	-0.0673463	0.461479	-2.23674	0.419796	1.18334	-0.242246
Ind483	19	S	0	0.746295	3.82926	6.44682	11.5205	1.70886	-0.718695	0.143457	-0.180053	0.375339	0.0837349
Ind484	19	S	0	8.71382	8.76026	9.21927	9.56768	-1.48337	2.56739	-2.43116	1.04704	-1.16581	-1.46561
Ind485	19	S	0	4.88116	5.98187	6.9866	23.9296	0.21574	1.02385	-0.221264	1.0376	-0.0512755	0.100043
Ind486	19	S	0	2.35903	5.54355	8.60864	12.2629	-0.206858	-0.291457	0.169676	1.15608	0.168941	-0.737934
Ind487	19	S	0	no	no	no	no	-0.534088	2.10099	-2.12894	-1.18117	0.396252	-1.30454
